Growth,Loss,Stable,id
0.09,0.09,0.82,87950922
0.25,0.5,0.25,81395819
0.125,0.125,0.75,84152401
0.083,0.083,0.833,66411237
0.146,0.146,0.708,29398292
0.125,0.125,0.75,97187302
0.042,0.042,0.917,76577468
0.153,0.153,0.693,34090186
0.208,0.583,0.208,54194878
0.222,0.222,0.555,23083100
0.0,0.0,1.0,40450920
0.155,0.69,0.155,86348793
0.0,0.0,1.0,32106641
0.375,0.375,0.25,92692533
0.042,0.042,0.917,13068541
0.083,0.083,0.833,7462434
0.158,0.683,0.158,96421580
0.181,0.181,0.638,24892701
0.069,0.069,0.862,79842933
0.058,0.058,0.883,94123684
0.097,0.807,0.097,89126486
0.15,0.15,0.7,54707156
0.077,0.847,0.077,26822782
0.023,0.023,0.953,53693425
0.083,0.083,0.833,24933449
0.039,0.039,0.922,76577468
0.183,0.633,0.183,85905978
0.104,0.104,0.792,1658418
0.01,0.01,0.98,40950100
0.208,0.208,0.583,83301603
0.048,0.048,0.903,32106641
0.057,0.057,0.887,91550861
0.049,0.049,0.902,90568492
0.044,0.912,0.044,83604768
0.042,0.042,0.917,25149672
0.044,0.044,0.912,8462380
0.047,0.047,0.907,24892701
0.035,0.035,0.93,19689836
0.07,0.07,0.86,43610137
0.111,0.111,0.778,62714787
0.319,0.362,0.319,81395819
0.25,0.5,0.25,89126486
0.361,0.361,0.278,32975512
0.25,0.25,0.5,64608259
0.4,0.2,0.4,57875477
0.418,0.165,0.418,69839659
0.377,0.377,0.247,34090186
0.312,0.375,0.312,85905978
0.25,0.5,0.25,21844220
0.25,0.25,0.5,69004695
0.413,0.173,0.413,67178806
0.451,0.098,0.451,30523289
0.389,0.222,0.389,92692533
0.332,0.335,0.332,91550861
0.333,0.333,0.333,66357229
0.25,0.25,0.5,65778899
0.389,0.222,0.389,14107830
0.347,0.307,0.347,72972604
0.152,0.424,0.424,79842933
0.361,0.278,0.361,19689836
0.438,0.125,0.438,22546504
0.389,0.222,0.389,786489
0.274,0.274,0.452,84152401
0.198,0.198,0.605,54707156
0.356,0.288,0.356,32975512
0.397,0.397,0.207,69249222
0.236,0.236,0.528,53355015
0.375,0.375,0.25,14499395
0.177,0.647,0.177,54194878
0.171,0.171,0.658,74809158
0.322,0.322,0.355,21844220
0.188,0.188,0.625,2430050
0.383,0.383,0.233,26861268
0.271,0.458,0.271,13068541
0.154,0.154,0.692,90568492
0.402,0.195,0.402,66357229
0.152,0.152,0.695,49607116
0.406,0.188,0.406,19757086
0.345,0.345,0.31,18472705
0.229,0.229,0.542,43610137
0.162,0.162,0.677,22546504
0.375,0.375,0.25,42487167
0.0,0.0,1.0,66411237
0.017,0.967,0.017,26822782
0.008,0.008,0.983,64608259
0.057,0.887,0.057,69249222
0.125,0.125,0.75,33246590
0.0,0.0,1.0,50043403
0.0,0.0,1.0,23083100
0.033,0.033,0.933,1658418
0.0,0.0,1.0,2430050
0.017,0.017,0.967,21053593
0.083,0.083,0.833,55392938
0.083,0.833,0.083,83604768
0.083,0.083,0.833,65778899
0.0,0.0,1.0,49607116
0.083,0.083,0.833,77779142
0.125,0.125,0.75,4462248
0.167,0.167,0.667,18250573
0.167,0.167,0.667,62714787
0.05,0.9,0.05,786489
0.083,0.083,0.833,42487167
0.008,0.008,0.983,53693425
0.112,0.112,0.777,57875477
0.187,0.187,0.627,33246590
0.058,0.883,0.058,1131061
0.271,0.458,0.271,67178806
0.112,0.112,0.777,26861268
0.306,0.306,0.388,21053593
0.306,0.388,0.306,7462434
0.153,0.153,0.693,25149672
0.225,0.225,0.55,14107830
0.333,0.333,0.333,19757086
0.142,0.717,0.142,77779142
0.312,0.375,0.312,51945969
0.229,0.542,0.229,75129394
0.017,0.017,0.967,55666943
0.417,0.417,0.167,91270257
0.083,0.083,0.833,40950100
0.417,0.417,0.167,73771223
0.375,0.375,0.25,23284643
0.25,0.25,0.5,29398292
0.083,0.833,0.083,4462248
0.229,0.229,0.542,51945969
0.083,0.833,0.083,91977286
0.125,0.125,0.75,97187302
0.833,0.083,0.083,24933449
0.083,0.833,0.083,50043403
0.208,0.583,0.208,1131061
0.083,0.833,0.083,86348793
0.167,0.667,0.167,30523289
0.292,0.417,0.292,96421580
0.083,0.083,0.833,8462380
0.167,0.667,0.167,72972604
0.194,0.612,0.194,83301603
0.312,0.375,0.312,28247858
0.292,0.292,0.417,55392938
0.167,0.167,0.667,73771223
0.25,0.25,0.5,18472705
0.333,0.333,0.333,2068714
0.25,0.25,0.5,68178730
0.083,0.833,0.083,51970690
0.362,0.362,0.277,75129394
0.167,0.167,0.667,2068714
0.167,0.167,0.667,15845955
0.292,0.292,0.417,78809525
0.354,0.292,0.354,17818825
0.264,0.264,0.472,8290514
0.229,0.229,0.542,32787998
0.171,0.171,0.658,62095235
0.383,0.233,0.383,34678995
0.167,0.667,0.167,28442044
0.312,0.375,0.312,53610570
0.167,0.167,0.667,74231007
0.194,0.194,0.612,66622881
0.194,0.194,0.612,46471115
0.417,0.417,0.167,71006690
0.292,0.292,0.417,85900529
0.271,0.458,0.271,64039525
0.242,0.517,0.242,5104092
0.267,0.267,0.467,83594459
0.267,0.267,0.467,3876631
0.132,0.132,0.737,23284643
0.188,0.188,0.625,91977286
0.083,0.083,0.833,15845955
0.174,0.174,0.652,9220369
0.111,0.111,0.778,80277766
0.026,0.948,0.026,24747903
0.208,0.208,0.583,44677663
0.083,0.083,0.833,53249296
0.262,0.475,0.262,62095235
0.092,0.092,0.817,89098941
0.188,0.188,0.625,67290870
0.088,0.088,0.823,95981436
0.098,0.098,0.805,40027003
0.083,0.083,0.833,88527044
0.09,0.09,0.82,82156017
0.052,0.052,0.897,68885921
0.139,0.139,0.722,15498542
0.072,0.072,0.855,35377485
0.234,0.234,0.532,83594459
0.091,0.091,0.818,75062547
0.312,0.375,0.312,68178730
0.325,0.325,0.35,9220369
0.426,0.148,0.426,94831135
0.375,0.375,0.25,6190663
0.438,0.125,0.438,4216413
0.361,0.278,0.361,84489052
0.418,0.165,0.418,34678995
0.361,0.278,0.361,89098941
0.312,0.375,0.312,68751961
0.34,0.34,0.32,42018273
0.403,0.403,0.193,78328177
0.375,0.25,0.375,46182071
0.338,0.323,0.338,46471115
0.332,0.332,0.335,88527044
0.375,0.25,0.375,62856672
0.332,0.332,0.335,32467637
0.418,0.418,0.165,18569680
0.338,0.323,0.338,12758004
0.403,0.193,0.403,3876631
0.418,0.418,0.165,75062547
0.354,0.354,0.292,91270257
0.354,0.292,0.354,51970690
0.417,0.417,0.167,17818825
0.331,0.338,0.331,80277766
0.408,0.183,0.408,94831135
0.236,0.236,0.528,65313888
0.417,0.417,0.167,18316811
0.142,0.717,0.142,55572137
0.417,0.417,0.167,28442044
0.167,0.667,0.167,68751961
0.379,0.379,0.242,70780017
0.445,0.11,0.445,89076703
0.222,0.222,0.555,71006690
0.111,0.111,0.778,82156017
0.292,0.417,0.292,62856672
0.361,0.361,0.278,61886939
0.288,0.288,0.425,59404333
0.268,0.268,0.463,44941728
0.333,0.333,0.333,48181909
0.208,0.208,0.583,45160745
0.0,0.0,1.0,83656683
0.083,0.083,0.833,8290514
0.0,1.0,0.0,24747903
0.083,0.083,0.833,6190663
0.062,0.062,0.875,65313888
0.083,0.083,0.833,59472915
0.056,0.056,0.888,80397483
0.07,0.86,0.07,53610570
0.093,0.093,0.813,42018273
0.02,0.02,0.96,70780017
0.139,0.139,0.722,81432477
0.042,0.042,0.917,31193025
0.083,0.083,0.833,85900529
0.125,0.125,0.75,68885921
0.083,0.083,0.833,32467637
0.042,0.042,0.917,24038078
0.0,0.0,1.0,91112080
0.167,0.167,0.667,57588578
0.0,1.0,0.0,88369095
0.917,0.042,0.042,83158288
0.292,0.417,0.292,16028015
0.292,0.292,0.417,71071171
0.167,0.667,0.167,4216413
0.142,0.142,0.717,18316811
0.458,0.458,0.083,59472915
0.431,0.138,0.431,53298392
0.083,0.083,0.833,74231007
0.083,0.083,0.833,95981436
0.458,0.458,0.083,78328177
0.167,0.167,0.667,89076703
0.283,0.283,0.433,81432477
0.125,0.125,0.75,22318032
0.375,0.25,0.375,64039525
0.375,0.375,0.25,18569680
0.208,0.208,0.583,59404333
0.0,0.0,1.0,24038078
0.458,0.458,0.083,64960015
0.375,0.375,0.25,28903669
0.125,0.125,0.75,6533273
0.208,0.208,0.583,44677663
0.167,0.167,0.667,83158288
0.167,0.667,0.167,16028015
0.167,0.167,0.667,32787998
0.083,0.083,0.833,53249296
0.167,0.667,0.167,84489052
0.083,0.833,0.083,81677574
0.0,1.0,0.0,55572137
0.167,0.167,0.667,80397483
0.208,0.208,0.583,53298392
0.25,0.5,0.25,46182071
0.333,0.333,0.333,38454164
0.167,0.167,0.667,31193025
0.25,0.25,0.5,22318032
0.25,0.5,0.25,5104092
0.25,0.5,0.25,35377485
0.083,0.833,0.083,12758004
0.167,0.167,0.667,44941728
0.333,0.333,0.333,91112080
0.277,0.445,0.277,64960015
0.25,0.25,0.5,91704887
0.288,0.288,0.425,48181909
0.167,0.167,0.667,57588578
0.258,0.258,0.483,28903669
0.167,0.667,0.167,81677574
0.283,0.283,0.433,16807909
0.167,0.167,0.667,42271433
0.167,0.667,0.167,38290846
0.292,0.292,0.417,35006114
0.222,0.222,0.555,20713890
0.167,0.667,0.167,65254217
0.167,0.167,0.667,52597308
0.417,0.167,0.417,66193726
0.167,0.667,0.167,73000893
0.167,0.167,0.667,75437634
0.275,0.275,0.45,84589977
0.208,0.208,0.583,96011716
0.417,0.167,0.417,76432632
0.286,0.286,0.428,30183405
0.367,0.267,0.367,46942368
0.34,0.32,0.34,26594139
0.367,0.267,0.367,71071171
0.225,0.225,0.55,39409814
0.278,0.278,0.443,45160745
0.215,0.215,0.57,88369095
0.031,0.031,0.938,6533273
0.181,0.181,0.638,91704887
0.098,0.098,0.805,16807909
0.098,0.098,0.805,75338200
0.322,0.322,0.355,7581613
0.188,0.625,0.188,1589145
0.202,0.202,0.597,27798249
0.202,0.202,0.597,97425135
0.132,0.132,0.737,39699194
0.155,0.155,0.69,15484062
0.072,0.072,0.857,10351455
0.077,0.077,0.847,78721587
0.334,0.334,0.332,27211901
0.5,0.5,0.0,76432632
0.083,0.083,0.833,5451556
0.093,0.093,0.813,92137362
0.25,0.25,0.5,27515072
0.159,0.159,0.682,80774023
0.098,0.805,0.098,39409814
0.255,0.255,0.49,76897553
0.076,0.076,0.848,71295829
0.424,0.424,0.152,86800950
0.125,0.75,0.125,60429406
0.05,0.05,0.9,42271433
0.0,0.0,1.0,75338200
0.354,0.292,0.354,7958363
0.05,0.05,0.9,71969357
0.139,0.139,0.722,60481508
0.458,0.085,0.458,56114493
0.418,0.418,0.165,66193726
0.46,0.46,0.08,39699194
0.188,0.625,0.188,2024909
0.09,0.82,0.09,56527992
0.347,0.347,0.307,96397323
0.238,0.238,0.525,54020410
0.326,0.348,0.326,30183405
0.118,0.118,0.765,5451556
0.098,0.805,0.098,80552847
0.326,0.326,0.348,21938453
0.428,0.145,0.428,55666943
0.361,0.361,0.278,78809525
0.333,0.333,0.333,76897553
0.208,0.208,0.583,64899219
0.348,0.305,0.348,11122783
0.264,0.264,0.472,13664861
0.292,0.417,0.292,38290846
0.333,0.333,0.333,7581613
0.333,0.333,0.333,7958363
0.417,0.167,0.417,28568145
0.333,0.333,0.333,93109246
0.375,0.375,0.25,34307115
0.25,0.5,0.25,73000893
0.208,0.208,0.583,15484062
0.292,0.417,0.292,2024909
0.167,0.167,0.667,96016585
0.375,0.25,0.375,52405413
0.167,0.167,0.667,56663273
0.458,0.458,0.083,46942368
0.333,0.333,0.333,92137362
0.333,0.333,0.333,80552847
0.208,0.208,0.583,93137713
0.225,0.225,0.55,80774023
0.375,0.375,0.25,38454164
0.243,0.243,0.513,71295829
0.16,0.16,0.68,64899219
0.132,0.737,0.132,67593577
0.278,0.278,0.443,67869475
0.167,0.167,0.667,35006114
0.012,0.977,0.012,1589145
0.167,0.167,0.667,71969357
0.239,0.239,0.522,28568145
0.167,0.167,0.667,26295944
0.125,0.125,0.75,148142
0.167,0.167,0.667,75437634
0.0,1.0,0.0,10351455
0.146,0.146,0.708,56527992
0.167,0.167,0.667,96016585
0.188,0.188,0.625,80220413
0.333,0.333,0.333,40107720
0.153,0.153,0.693,26594139
0.293,0.293,0.413,27515072
0.202,0.202,0.595,21938453
0.208,0.208,0.583,93137713
0.219,0.219,0.562,67290870
0.167,0.167,0.667,61886939
0.417,0.417,0.167,86800950
0.25,0.5,0.25,11122783
0.083,0.833,0.083,67593577
0.208,0.583,0.208,48296247
0.125,0.125,0.75,20713890
0.375,0.375,0.25,27798249
0.333,0.333,0.333,60481508
0.458,0.083,0.458,93109246
0.083,0.083,0.833,26295944
0.208,0.583,0.208,46215217
0.417,0.417,0.167,84589977
0.208,0.208,0.583,78721587
0.333,0.333,0.333,96397323
0.333,0.333,0.333,52405413
0.25,0.25,0.5,80220413
0.208,0.208,0.583,20880708
0.208,0.208,0.583,79047989
0.208,0.208,0.583,91747824
0.208,0.208,0.583,23577275
0.125,0.125,0.75,51295323
0.333,0.333,0.333,83656683
0.333,0.333,0.333,15498542
0.25,0.5,0.25,60429406
0.25,0.25,0.5,13664861
0.333,0.333,0.333,67869475
0.354,0.292,0.354,48296247
0.104,0.792,0.104,65254217
0.167,0.167,0.667,97425135
0.375,0.375,0.25,56114493
0.25,0.25,0.5,34307115
0.229,0.229,0.542,148142
0.208,0.583,0.208,46215217
0.229,0.229,0.542,96011716
0.25,0.25,0.5,27211901
0.25,0.25,0.5,54020410
0.195,0.195,0.61,56663273
0.25,0.5,0.25,66622881
0.292,0.292,0.417,40107720
0.25,0.5,0.25,20880708
0.375,0.25,0.375,8835255
0.25,0.25,0.5,94638951
0.271,0.271,0.458,40027003
0.25,0.25,0.5,32007075
0.292,0.417,0.292,23179987
0.208,0.208,0.583,19204019
0.194,0.194,0.612,75533724
0.167,0.667,0.167,31925560
0.167,0.667,0.167,95915841
0.167,0.167,0.667,6355755
0.35,0.35,0.3,96506508
0.167,0.167,0.667,75117306
0.25,0.5,0.25,27105696
0.292,0.417,0.292,3256595
0.333,0.333,0.333,91153471
0.208,0.208,0.583,45931926
0.292,0.292,0.417,56092979
0.282,0.282,0.437,84235564
0.167,0.167,0.667,20196685
0.188,0.188,0.625,45674038
0.167,0.667,0.167,51013065
0.298,0.298,0.403,22551424
0.396,0.396,0.208,54499254
0.354,0.292,0.354,2721769
0.333,0.333,0.333,18250573
0.164,0.164,0.672,19204019
0.219,0.219,0.562,47448092
0.128,0.128,0.745,78657650
0.194,0.194,0.612,58835211
0.194,0.194,0.612,14576450
0.112,0.112,0.777,75117306
0.09,0.09,0.82,79045706
0.277,0.277,0.445,29085874
0.112,0.777,0.112,74338859
0.285,0.285,0.43,48015767
0.271,0.271,0.458,29158350
0.282,0.282,0.437,52254958
0.177,0.177,0.647,37193289
0.152,0.152,0.695,55400962
0.118,0.118,0.763,80122503
0.188,0.188,0.625,49570556
0.167,0.167,0.665,91186758
0.122,0.122,0.757,22551424
0.086,0.086,0.828,87950922
0.069,0.069,0.862,74809158
0.156,0.688,0.156,73698383
0.167,0.667,0.167,31925560
0.305,0.305,0.39,47448092
0.167,0.167,0.667,70550509
0.083,0.083,0.833,34403085
0.354,0.354,0.292,38996901
0.292,0.417,0.292,63049873
0.25,0.5,0.25,3256595
0.417,0.417,0.167,29085874
0.292,0.417,0.292,13822452
0.188,0.188,0.625,50282063
0.312,0.312,0.375,43297700
0.167,0.667,0.167,66406152
0.417,0.417,0.167,84235564
0.354,0.354,0.292,60468536
0.152,0.152,0.695,5112781
