Growth,Loss,Stable,id
0.0,0.0,1.0,87950922
0.333,0.333,0.333,81395819
0.0,0.0,1.0,84152401
0.0,0.0,1.0,66411237
0.083,0.233,0.683,29398292
0.0,0.0,1.0,97187302
0.0,0.0,1.0,76577468
0.223,0.223,0.553,34090186
0.333,0.333,0.333,54194878
0.223,0.27,0.507,23083100
0.0,0.0,1.0,40450920
0.11,0.78,0.11,86348793
0.0,0.0,1.0,32106641
0.333,0.333,0.333,92692533
0.0,0.0,1.0,13068541
0.0,0.0,1.0,7462434
0.067,0.787,0.147,96421580
0.223,0.289,0.487,24892701
0.0,0.1,0.9,79842933
0.083,0.083,0.833,94123684
0.027,0.855,0.119,89126486
0.0,0.08,0.92,54707156
0.0,0.92,0.08,26822782
0.047,0.107,0.846,53693425
0.1,0.0,0.9,24933449
0.043,0.165,0.792,76577468
0.033,0.636,0.33,85905978
0.167,0.217,0.617,1658418
0.02,0.067,0.913,40950100
0.167,0.222,0.612,83301603
0.067,0.131,0.803,32106641
0.083,0.188,0.728,91550861
0.057,0.115,0.829,90568492
0.047,0.796,0.157,83604768
0.047,0.133,0.821,25149672
0.047,0.107,0.846,8462380
0.047,0.133,0.821,24892701
0.037,0.108,0.855,19689836
0.067,0.123,0.811,43610137
0.097,0.153,0.75,62714787
0.167,0.542,0.292,81395819
0.0,1.0,0.0,89126486
0.223,0.286,0.491,32975512
0.0,0.0,1.0,64608259
0.2,0.468,0.332,57875477
0.223,0.388,0.388,69839659
0.287,0.333,0.38,34090186
0.083,0.683,0.233,85905978
0.0,0.95,0.05,21844220
0.0,0.0,1.0,69004695
0.287,0.399,0.315,67178806
0.277,0.418,0.306,30523289
0.223,0.497,0.279,92692533
0.11,0.78,0.11,91550861
0.167,0.542,0.292,66357229
0.0,0.1,0.9,65778899
0.223,0.444,0.332,14107830
0.167,0.542,0.292,72972604
0.418,0.25,0.332,79842933
0.223,0.487,0.289,19689836
0.3,0.383,0.317,22546504
0.223,0.444,0.332,786489
0.097,0.132,0.771,84152401
0.083,0.083,0.833,54707156
0.237,0.512,0.251,32975512
0.3,0.315,0.385,69249222
0.25,0.288,0.462,53355015
0.333,0.333,0.333,14499395
0.0,1.0,0.0,54194878
0.0,0.0,1.0,74809158
0.223,0.27,0.507,21844220
0.083,0.083,0.833,2430050
0.267,0.307,0.427,26861268
0.25,0.482,0.268,13068541
0.0,0.0,1.0,90568492
0.287,0.371,0.343,66357229
0.043,0.043,0.913,49607116
0.333,0.333,0.333,19757086
0.333,0.333,0.333,18472705
0.0,0.0,1.0,43610137
0.0,0.0,1.0,22546504
0.333,0.333,0.333,42487167
0.0,0.0,1.0,66411237
0.033,0.933,0.033,26822782
0.017,0.017,0.967,64608259
0.067,0.707,0.227,69249222
0.083,0.083,0.833,33246590
0.0,0.25,0.75,50043403
0.0,0.0,1.0,23083100
0.067,0.067,0.867,1658418
0.0,0.0,1.0,2430050
0.033,0.159,0.807,21053593
0.167,0.217,0.617,55392938
0.0,1.0,0.0,83604768
0.0,0.05,0.95,65778899
0.2,0.0,0.8,49607116
0.0,0.1,0.9,77779142
0.0,0.08,0.92,4462248
0.0,0.05,0.95,18250573
0.167,0.177,0.657,62714787
0.0,0.75,0.25,786489
0.0,0.02,0.98,42487167
0.017,0.017,0.967,53693425
0.223,0.256,0.52,57875477
0.223,0.306,0.471,33246590
0.033,0.888,0.078,1131061
0.25,0.488,0.262,67178806
0.223,0.27,0.507,26861268
0.333,0.333,0.333,21053593
0.333,0.333,0.333,7462434
0.192,0.167,0.642,25149672
0.2,0.332,0.468,14107830
0.333,0.333,0.333,19757086
0.067,0.603,0.331,77779142
0.333,0.333,0.333,51945969
0.167,0.542,0.292,75129394
0.033,0.078,0.888,55666943
0.333,0.333,0.333,91270257
0.0,0.1,0.9,40950100
0.333,0.333,0.333,73771223
0.333,0.333,0.333,23284643
0.167,0.217,0.617,29398292
0.0,0.9,0.1,4462248
0.083,0.271,0.646,51945969
0.0,1.0,0.0,91977286
0.0,0.0,1.0,97187302
1.0,0.0,0.0,24933449
0.0,1.0,0.0,50043403
0.0,1.0,0.0,1131061
0.0,1.0,0.0,86348793
0.0,1.0,0.0,30523289
0.167,0.667,0.167,96421580
0.0,0.0,1.0,8462380
0.333,0.333,0.333,72972604
0.11,0.78,0.11,83301603
0.167,0.642,0.192,28247858
0.167,0.332,0.502,55392938
0.0,0.33,0.67,73771223
0.0,0.0,1.0,18472705
0.333,0.333,0.333,2068714
0.0,0.1,0.9,68178730
0.0,0.95,0.05,51970690
0.223,0.24,0.537,75129394
0.0,0.0,1.0,2068714
0.0,0.0,1.0,15845955
0.167,0.167,0.667,78809525
0.25,0.488,0.262,17818825
0.167,0.292,0.542,8290514
0.0,0.0,1.0,32787998
0.017,0.026,0.957,62095235
0.333,0.333,0.333,34678995
0.0,1.0,0.0,28442044
0.333,0.333,0.333,53610570
0.0,0.0,1.0,74231007
0.0,0.0,1.0,66622881
0.0,0.45,0.55,46471115
0.333,0.333,0.333,71006690
0.083,0.158,0.758,85900529
0.083,0.833,0.083,64039525
0.133,0.733,0.133,5104092
0.067,0.067,0.867,83594459
0.067,0.067,0.867,3876631
0.11,0.177,0.713,23284643
0.083,0.271,0.646,91977286
0.0,0.0,1.0,15845955
0.0,0.05,0.95,9220369
0.0,0.16,0.84,80277766
0.0,0.93,0.07,24747903
0.167,0.197,0.637,44677663
0.0,0.0,1.0,53249296
0.25,0.375,0.375,62095235
0.0,0.11,0.89,89098941
0.223,0.246,0.53,67290870
0.0,0.08,0.92,95981436
0.0,0.06,0.94,40027003
0.0,0.0,1.0,88527044
0.0,0.08,0.92,82156017
0.0,0.19,0.81,68885921
0.067,0.147,0.787,15498542
0.0,0.05,0.95,35377485
0.297,0.308,0.396,83594459
0.0,0.11,0.89,75062547
0.083,0.758,0.158,68178730
0.167,0.217,0.617,9220369
0.287,0.392,0.322,94831135
0.223,0.289,0.487,6190663
0.25,0.438,0.312,4216413
0.167,0.617,0.217,84489052
0.223,0.511,0.266,34678995
0.167,0.567,0.267,89098941
0.083,0.833,0.083,68751961
0.167,0.267,0.567,42018273
0.223,0.306,0.471,78328177
0.167,0.417,0.417,46182071
0.133,0.733,0.133,46471115
