id,Growth,Loss,Stable,Growth_cwci,Loss_cwci,Stable_cwci,Growth_discount,Loss_discount,Stable_discount
87950922,0.005,0.005,0.99,0.09,0.09,0.82,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.09,0.09,0.82,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.086,0.086,0.828,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.086,0.086,0.828,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.09,0.09,0.82,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.09,0.09,0.82,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.086,0.086,0.828,0.0,0.0,1.0
87950922,0.005,0.005,0.99,0.086,0.086,0.828,0.0,0.0,1.0
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.333,0.333,0.333
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.167,0.542,0.292
81395819,0.3,0.4,0.3,0.319,0.362,0.319,0.333,0.333,0.333
81395819,0.3,0.4,0.3,0.319,0.362,0.319,0.167,0.542,0.292
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.333,0.333,0.333
81395819,0.3,0.4,0.3,0.25,0.5,0.25,0.167,0.542,0.292
81395819,0.3,0.4,0.3,0.319,0.362,0.319,0.333,0.333,0.333
81395819,0.3,0.4,0.3,0.319,0.362,0.319,0.167,0.542,0.292
84152401,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
84152401,0.005,0.005,0.99,0.125,0.125,0.75,0.097,0.132,0.771
84152401,0.005,0.005,0.99,0.274,0.274,0.452,0.0,0.0,1.0
84152401,0.005,0.005,0.99,0.274,0.274,0.452,0.097,0.132,0.771
84152401,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
84152401,0.005,0.005,0.99,0.125,0.125,0.75,0.097,0.132,0.771
84152401,0.005,0.005,0.99,0.274,0.274,0.452,0.0,0.0,1.0
84152401,0.005,0.005,0.99,0.274,0.274,0.452,0.097,0.132,0.771
66411237,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.083,0.083,0.833,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
66411237,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
29398292,0.005,0.005,0.99,0.146,0.146,0.708,0.083,0.233,0.683
29398292,0.005,0.005,0.99,0.146,0.146,0.708,0.167,0.217,0.617
29398292,0.005,0.005,0.99,0.25,0.25,0.5,0.083,0.233,0.683
29398292,0.005,0.005,0.99,0.25,0.25,0.5,0.167,0.217,0.617
29398292,0.3,0.3,0.4,0.146,0.146,0.708,0.083,0.233,0.683
29398292,0.3,0.3,0.4,0.146,0.146,0.708,0.167,0.217,0.617
29398292,0.3,0.3,0.4,0.25,0.25,0.5,0.083,0.233,0.683
29398292,0.3,0.3,0.4,0.25,0.25,0.5,0.167,0.217,0.617
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
97187302,0.005,0.005,0.99,0.125,0.125,0.75,0.0,0.0,1.0
76577468,0.005,0.005,0.99,0.042,0.042,0.917,0.0,0.0,1.0
76577468,0.005,0.005,0.99,0.042,0.042,0.917,0.043,0.165,0.792
76577468,0.005,0.005,0.99,0.039,0.039,0.922,0.0,0.0,1.0
76577468,0.005,0.005,0.99,0.039,0.039,0.922,0.043,0.165,0.792
76577468,0.005,0.005,0.99,0.042,0.042,0.917,0.0,0.0,1.0
76577468,0.005,0.005,0.99,0.042,0.042,0.917,0.043,0.165,0.792
76577468,0.005,0.005,0.99,0.039,0.039,0.922,0.0,0.0,1.0
76577468,0.005,0.005,0.99,0.039,0.039,0.922,0.043,0.165,0.792
34090186,0.3,0.3,0.4,0.153,0.153,0.693,0.223,0.223,0.553
34090186,0.3,0.3,0.4,0.153,0.153,0.693,0.287,0.333,0.38
34090186,0.3,0.3,0.4,0.377,0.377,0.247,0.223,0.223,0.553
34090186,0.3,0.3,0.4,0.377,0.377,0.247,0.287,0.333,0.38
34090186,0.3,0.3,0.4,0.153,0.153,0.693,0.223,0.223,0.553
34090186,0.3,0.3,0.4,0.153,0.153,0.693,0.287,0.333,0.38
34090186,0.3,0.3,0.4,0.377,0.377,0.247,0.223,0.223,0.553
34090186,0.3,0.3,0.4,0.377,0.377,0.247,0.287,0.333,0.38
54194878,0.3,0.4,0.3,0.208,0.583,0.208,0.333,0.333,0.333
54194878,0.3,0.4,0.3,0.208,0.583,0.208,0.0,1.0,0.0
54194878,0.3,0.4,0.3,0.177,0.647,0.177,0.333,0.333,0.333
54194878,0.3,0.4,0.3,0.177,0.647,0.177,0.0,1.0,0.0
54194878,0.005,0.99,0.005,0.208,0.583,0.208,0.333,0.333,0.333
54194878,0.005,0.99,0.005,0.208,0.583,0.208,0.0,1.0,0.0
54194878,0.005,0.99,0.005,0.177,0.647,0.177,0.333,0.333,0.333
54194878,0.005,0.99,0.005,0.177,0.647,0.177,0.0,1.0,0.0
23083100,0.3,0.3,0.4,0.222,0.222,0.555,0.223,0.27,0.507
23083100,0.3,0.3,0.4,0.222,0.222,0.555,0.0,0.0,1.0
23083100,0.3,0.3,0.4,0.0,0.0,1.0,0.223,0.27,0.507
23083100,0.3,0.3,0.4,0.0,0.0,1.0,0.0,0.0,1.0
23083100,0.005,0.005,0.99,0.222,0.222,0.555,0.223,0.27,0.507
23083100,0.005,0.005,0.99,0.222,0.222,0.555,0.0,0.0,1.0
23083100,0.005,0.005,0.99,0.0,0.0,1.0,0.223,0.27,0.507
23083100,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
40450920,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
40450920,0.005,0.005,0.99,0.0,0.0,1.0,0.167,0.267,0.567
40450920,0.005,0.005,0.99,0.333,0.333,0.333,0.0,0.0,1.0
40450920,0.005,0.005,0.99,0.333,0.333,0.333,0.167,0.267,0.567
40450920,0.3,0.3,0.4,0.0,0.0,1.0,0.0,0.0,1.0
40450920,0.3,0.3,0.4,0.0,0.0,1.0,0.167,0.267,0.567
40450920,0.3,0.3,0.4,0.333,0.333,0.333,0.0,0.0,1.0
40450920,0.3,0.3,0.4,0.333,0.333,0.333,0.167,0.267,0.567
86348793,0.005,0.99,0.005,0.155,0.69,0.155,0.11,0.78,0.11
86348793,0.005,0.99,0.005,0.155,0.69,0.155,0.0,1.0,0.0
86348793,0.005,0.99,0.005,0.083,0.833,0.083,0.11,0.78,0.11
86348793,0.005,0.99,0.005,0.083,0.833,0.083,0.0,1.0,0.0
86348793,0.005,0.99,0.005,0.155,0.69,0.155,0.11,0.78,0.11
86348793,0.005,0.99,0.005,0.155,0.69,0.155,0.0,1.0,0.0
86348793,0.005,0.99,0.005,0.083,0.833,0.083,0.11,0.78,0.11
86348793,0.005,0.99,0.005,0.083,0.833,0.083,0.0,1.0,0.0
32106641,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
32106641,0.005,0.005,0.99,0.0,0.0,1.0,0.067,0.131,0.803
32106641,0.005,0.005,0.99,0.048,0.048,0.903,0.0,0.0,1.0
32106641,0.005,0.005,0.99,0.048,0.048,0.903,0.067,0.131,0.803
32106641,0.005,0.005,0.99,0.0,0.0,1.0,0.0,0.0,1.0
32106641,0.005,0.005,0.99,0.0,0.0,1.0,0.067,0.131,0.803
32106641,0.005,0.005,0.99,0.048,0.048,0.903,0.0,0.0,1.0
32106641,0.005,0.005,0.99,0.048,0.048,0.903,0.067,0.131,0.803
92692533,0.3,0.3,0.4,0.375,0.375,0.25,0.333,0.333,0.333
92692533,0.3,0.3,0.4,0.375,0.375,0.25,0.223,0.497,0.279
92692533,0.3,0.3,0.4,0.389,0.222,0.389,0.333,0.333,0.333
92692533,0.3,0.3,0.4,0.389,0.222,0.389,0.223,0.497,0.279
92692533,0.3,0.4,0.3,0.375,0.375,0.25,0.333,0.333,0.333
92692533,0.3,0.4,0.3,0.375,0.375,0.25,0.223,0.497,0.279
92692533,0.3,0.4,0.3,0.389,0.222,0.389,0.333,0.333,0.333
92692533,0.3,0.4,0.3,0.389,0.222,0.389,0.223,0.497,0.279
